RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1678089131265	test RUN 1	3.3.1
REQUEST	55		LoadNewComputerPage	1678089154883	1678089155056	OK	 
USER	MyComputerJourney	168	START	1678089155062	1678089155062
USER	MyComputerJourney	169	START	1678089155112	1678089155112
USER	MyComputerJourney	170	START	1678089155162	1678089155162
USER	MyComputerJourney	171	START	1678089155212	1678089155212
REQUEST	57		LoadNewComputerPage	1678089154963	1678089155239	OK	 
REQUEST	56		LoadNewComputerPage	1678089154933	1678089155242	OK	 
REQUEST	154		LoadHomePage	1678089154355	1678089155240	OK	 
REQUEST	153		LoadHomePage	1678089154304	1678089155251	OK	 
REQUEST	58		LoadNewComputerPage	1678089155037	1678089155251	OK	 
REQUEST	155		LoadHomePage	1678089154405	1678089155247	OK	 
REQUEST	59		LoadNewComputerPage	1678089155053	1678089155258	OK	 
USER	MyComputerJourney	172	START	1678089155262	1678089155262
USER	MyComputerJourney	173	START	1678089155312	1678089155312
USER	MyComputerJourney	174	START	1678089155362	1678089155362
USER	MyComputerJourney	175	START	1678089155412	1678089155412
REQUEST	159		LoadHomePage	1678089154604	1678089155445	OK	 
REQUEST	160		LoadHomePage	1678089154654	1678089155445	OK	 
REQUEST	60		LoadNewComputerPage	1678089155123	1678089155448	OK	 
REQUEST	62		LoadNewComputerPage	1678089155233	1678089155448	OK	 
REQUEST	61		LoadNewComputerPage	1678089155162	1678089155448	OK	 
REQUEST	3		FilterComputer	1678089155253	1678089155449	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089155450
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089155454
REQUEST	157		LoadHomePage	1678089154503	1678089155453	OK	 
USER	MyComputerJourney	3	END	1678089139012	1678089155459
REQUEST	158		LoadHomePage	1678089154553	1678089155460	OK	 
USER	MyComputerJourney	176	START	1678089155462	1678089155462
USER	MyComputerJourney	177	START	1678089155512	1678089155512
USER	MyComputerJourney	178	START	1678089155562	1678089155562
USER	MyComputerJourney	179	START	1678089155612	1678089155612
REQUEST	162		LoadHomePage	1678089154764	1678089155649	OK	 
REQUEST	64		LoadNewComputerPage	1678089155323	1678089155651	OK	 
REQUEST	163		LoadHomePage	1678089154824	1678089155652	OK	 
REQUEST	164		LoadHomePage	1678089154874	1678089155656	OK	 
REQUEST	66		LoadNewComputerPage	1678089155433	1678089155655	OK	 
