RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1678087454512	test	3.3.1
REQUEST	139		LoadHomePage	1678087477160	1678087477608	OK	 
USER	MyComputerJourney	148	START	1678087477608	1678087477608
REQUEST	5		CreateNewComputer	1678087477509	1678087477619	OK	 
REQUEST	37		LoadNewComputerPage	1678087477519	1678087477630	OK	 
REQUEST	140		LoadHomePage	1678087477210	1678087477643	OK	 
USER	MyComputerJourney	149	START	1678087477659	1678087477659
REQUEST	38		LoadNewComputerPage	1678087477560	1678087477669	OK	 
USER	MyComputerJourney	150	START	1678087477708	1678087477708
REQUEST	39		LoadNewComputerPage	1678087477609	1678087477718	OK	 
REQUEST	5		CreateNewComputer Redirect 1	1678087477622	1678087477732	OK	 
REQUEST	141		LoadHomePage	1678087477259	1678087477738	OK	 
REQUEST	142		LoadHomePage	1678087477309	1678087477743	OK	 
USER	MyComputerJourney	151	START	1678087477759	1678087477759
REQUEST	40		LoadNewComputerPage	1678087477660	1678087477771	OK	 
REQUEST	143		LoadHomePage	1678087477361	1678087477792	OK	 
USER	MyComputerJourney	152	START	1678087477808	1678087477808
REQUEST	144		LoadHomePage	1678087477411	1678087477844	OK	 
REQUEST	42		LoadNewComputerPage	1678087477749	1678087477854	OK	 
USER	MyComputerJourney	153	START	1678087477859	1678087477859
REQUEST	41		LoadNewComputerPage	1678087477759	1678087477878	OK	 
REQUEST	145		LoadHomePage	1678087477460	1678087477892	OK	 
USER	MyComputerJourney	154	START	1678087477909	1678087477909
REQUEST	43		LoadNewComputerPage	1678087477820	1678087477931	OK	 
REQUEST	146		LoadHomePage	1678087477509	1678087477939	OK	 
USER	MyComputerJourney	155	START	1678087477959	1678087477959
REQUEST	147		LoadHomePage	1678087477561	1678087477977	OK	 
REQUEST	44		LoadNewComputerPage	1678087477869	1678087477978	OK	 
USER	MyComputerJourney	156	START	1678087478009	1678087478009
REQUEST	45		LoadNewComputerPage	1678087477909	1678087478019	OK	 
REQUEST	46		LoadNewComputerPage	1678087477941	1678087478047	OK	 
REQUEST	148		LoadHomePage	1678087477611	1678087478052	OK	 
USER	MyComputerJourney	157	START	1678087478058	1678087478058
REQUEST	149		LoadHomePage	1678087477661	1678087478096	OK	 
USER	MyComputerJourney	158	START	1678087478109	1678087478109
REQUEST	47		LoadNewComputerPage	1678087478019	1678087478131	OK	 
USER	MyComputerJourney	159	START	1678087478159	1678087478159
REQUEST	150		LoadHomePage	1678087477709	1678087478163	OK	 
REQUEST	48		LoadNewComputerPage	1678087478058	1678087478168	OK	 
REQUEST	151		LoadHomePage	1678087477760	1678087478193	OK	 
USER	MyComputerJourney	160	START	1678087478208	1678087478208
REQUEST	49		LoadNewComputerPage	1678087478120	1678087478230	OK	 
REQUEST	152		LoadHomePage	1678087477810	1678087478253	OK	 
USER	MyComputerJourney	161	START	1678087478258	1678087478258
REQUEST	50		LoadNewComputerPage	1678087478159	1678087478267	OK	 
REQUEST	153		LoadHomePage	1678087477861	1678087478290	OK	 
USER	MyComputerJourney	162	START	1678087478308	1678087478308
REQUEST	51		LoadNewComputerPage	1678087478209	1678087478318	OK	 
USER	MyComputerJourney	163	START	1678087478358	1678087478358
REQUEST	154		LoadHomePage	1678087477911	1678087478360	OK	 
REQUEST	52		LoadNewComputerPage	1678087478259	1678087478368	OK	 
REQUEST	155		LoadHomePage	1678087477961	1678087478397	OK	 
USER	MyComputerJourney	164	START	1678087478408	1678087478408
REQUEST	53		LoadNewComputerPage	1678087478309	1678087478418	OK	 
REQUEST	156		LoadHomePage	1678087478009	1678087478441	OK	 
USER	MyComputerJourney	165	START	1678087478458	1678087478458
REQUEST	157		LoadHomePage	1678087478059	1678087478496	OK	 
REQUEST	54		LoadNewComputerPage	1678087478389	1678087478506	OK	 
USER	MyComputerJourney	166	START	1678087478508	1678087478508
REQUEST	55		LoadNewComputerPage	1678087478409	1678087478519	OK	 
USER	MyComputerJourney	167	START	1678087478559	1678087478559
REQUEST	158		LoadHomePage	1678087478110	1678087478563	OK	 
REQUEST	56		LoadNewComputerPage	1678087478469	1678087478601	OK	 
USER	MyComputerJourney	168	START	1678087478608	1678087478608
REQUEST	57		LoadNewComputerPage	1678087478509	1678087478619	OK	 
REQUEST	160		LoadHomePage	1678087478210	1678087478643	OK	 
USER	MyComputerJourney	169	START	1678087478658	1678087478658
REQUEST	58		LoadNewComputerPage	1678087478569	1678087478679	OK	 
REQUEST	159		LoadHomePage	1678087478161	1678087478707	OK	 
USER	MyComputerJourney	170	START	1678087478709	1678087478709
REQUEST	161		LoadHomePage	1678087478259	1678087478709	OK	 
REQUEST	59		LoadNewComputerPage	1678087478619	1678087478732	OK	 
REQUEST	3		FilterComputer	1678087478629	1678087478738	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678087478739
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678087478741
USER	MyComputerJourney	3	END	1678087462558	1678087478745
USER	MyComputerJourney	171	START	1678087478758	1678087478758
REQUEST	60		LoadNewComputerPage	1678087478659	1678087478769	OK	 
REQUEST	162		LoadHomePage	1678087478309	1678087478779	OK	 
USER	MyComputerJourney	172	START	1678087478809	1678087478809
REQUEST	163		LoadHomePage	1678087478359	1678087478823	OK	 
REQUEST	61		LoadNewComputerPage	1678087478720	1678087478832	OK	 
REQUEST	164		LoadHomePage	1678087478410	1678087478835	OK	 
USER	MyComputerJourney	173	START	1678087478858	1678087478858
REQUEST	62		LoadNewComputerPage	1678087478771	1678087478882	OK	 
USER	MyComputerJourney	174	START	1678087478908	1678087478908
REQUEST	165		LoadHomePage	1678087478460	1678087478911	OK	 
REQUEST	166		LoadHomePage	1678087478510	1678087478948	OK	 
REQUEST	63		LoadNewComputerPage	1678087478839	1678087478955	OK	 
USER	MyComputerJourney	175	START	1678087478958	1678087478958
REQUEST	64		LoadNewComputerPage	1678087478869	1678087478984	OK	 
USER	MyComputerJourney	176	START	1678087479008	1678087479008
REQUEST	167		LoadHomePage	1678087478561	1678087479013	OK	 
REQUEST	65		LoadNewComputerPage	1678087478929	1678087479043	OK	 
REQUEST	168		LoadHomePage	1678087478610	1678087479053	OK	 
USER	MyComputerJourney	177	START	1678087479058	1678087479058
REQUEST	66		LoadNewComputerPage	1678087478969	1678087479078	OK	 
REQUEST	169		LoadHomePage	1678087478660	1678087479106	OK	 
